% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
1984	2	0	1	0	28	2292	0	1	1	0
1985	2	0	1	0	28	2292	0	1	1	0
1986	2	0	1	0	28	2292	0	1	1	0
1987	2	0	1	0	28	2292	0	1	1	0
1988	2	0	1	0	28	2292	0	1	1	0
1989	2	0	1	0	28	2292	0	1	1	0
1990	2	0	1	0	28	2292	0	1	1	0
1991	2	0	1	0	28	2292	0	1	1	0
1992	2	0	1	0	28	2292	0	1	1	0
1993	2	0	1	0	28	2292	0	1	1	0
1994	2	0	1	0	28	2292	0	1	1	0
1995	2	0	1	0	28	2292	0	1	1	0
1996	2	0	1	0	28	2292	0	1	1	0
1997	2	0	1	0	28	2292	0	1	1	0
1998	2	0	1	0	28	2292	0	1	1	0
1999	2	0	1	0	28	2292	0	1	1	0
