Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.316s)
CreateVariables () DONE !!!
Creating 19 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18
114.00	8.40	2.04	0.04	0.61	0.00	0.00	0.00	0.00	0.00	0.45	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	3.52
115.00	8.40	0.99	0.00	0.61	0.00	0.00	0.00	0.00	0.00	2.83	0.00	1.05	0.00	0.00	0.00	0.00	0.26	0.02	0.00
116.00	8.41	2.65	0.00	0.00	0.00	0.00	0.49	0.00	0.00	1.12	2.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
117.00	8.40	0.98	0.00	2.78	0.00	0.00	0.78	0.00	0.00	0.35	2.56	0.33	0.00	0.00	0.00	0.33	0.31	0.00	0.84
118.00	8.40	1.28	0.00	1.05	0.00	0.00	0.00	0.00	0.00	0.54	1.38	0.45	0.00	0.00	0.00	0.00	0.00	0.00	0.00
119.00	8.41	0.57	0.00	1.22	0.00	0.00	0.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
10.2.1.2	8.56	8.21
10.1.1.2	1.11	286365.94
10.1.1.3	0.00	442943.96
10.1.1.4	0.25	799449.71
10.1.1.5	0	0
10.1.1.6	0	0
10.1.1.7	0.83	450421.30
10.1.1.8	0	0
10.1.1.9	0	0
10.1.1.10	1.18	204589.77
10.1.1.11	1.74	279639.90
10.1.1.12	0.17	681601.41
10.1.1.13	0	0
10.1.1.14	0	0
10.1.1.15	0	0
10.1.1.16	0.03	2380659.52
10.1.1.17	0.02	419783.49
10.1.1.18	0.01	877134.46
10.1.1.19	1.51	189898.96
