Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.342s)
CreateVariables () DONE !!!
Creating 22 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21
105.00	7.80	7.50	6.90	6.26	4.40	5.10	4.55	4.80	4.80	2.60	0.00	0.00	3.78	4.17	4.50	0.00	0.00	0.89	3.00	0.00	1.80	0.00
106.00	7.81	7.50	6.90	5.64	6.24	5.10	3.26	4.68	4.79	4.58	0.00	0.00	0.00	3.01	4.50	2.36	0.00	0.89	2.99	0.00	1.80	0.00
107.00	7.80	7.50	6.90	2.27	5.41	5.10	5.00	2.51	4.80	4.11	0.00	0.00	0.00	4.51	4.50	0.08	0.00	3.62	3.00	0.00	1.80	0.00
108.00	7.80	7.50	6.90	2.81	5.38	5.06	3.05	2.72	4.77	4.50	0.29	0.00	0.00	4.46	4.47	3.86	0.00	2.07	1.67	0.20	1.75	0.00
109.00	7.81	7.49	6.90	0.06	5.42	5.15	5.11	4.83	4.83	4.49	0.59	0.00	0.00	4.53	0.00	4.19	0.00	0.00	0.00	0.40	1.61	0.00
110.00	7.80	7.50	6.90	2.08	5.39	5.10	4.92	0.01	4.80	2.24	0.60	0.00	5.35	4.50	2.06	1.71	0.00	1.27	0.00	0.39	1.65	0.00
111.00	7.81	7.50	6.90	1.27	5.41	5.10	5.10	2.31	4.79	3.11	0.28	0.00	4.50	4.50	3.27	4.20	0.00	1.34	0.00	0.18	1.80	0.00
112.00	7.80	7.50	6.90	2.89	5.39	5.10	4.83	0.00	4.80	2.72	0.54	0.00	4.50	4.50	0.59	4.19	0.00	2.47	3.23	0.37	1.79	0.00
113.00	7.80	7.50	6.90	4.32	4.38	5.09	2.71	2.21	3.66	3.25	0.60	1.71	4.50	4.50	0.00	2.66	0.00	0.15	2.46	0.39	1.24	0.49
114.00	7.81	7.50	6.89	5.30	5.11	5.11	4.95	3.23	4.80	4.86	0.00	2.00	0.13	4.51	0.00	2.91	0.19	2.90	0.00	0.00	1.72	0.00
115.00	7.80	7.50	6.90	5.05	5.39	5.10	5.09	4.78	4.79	4.15	0.00	0.18	0.00	4.49	0.00	0.00	2.37	2.56	0.00	0.00	1.65	0.00
116.00	7.80	7.50	6.90	4.22	1.79	5.10	4.71	4.29	4.80	3.20	0.00	0.00	1.59	4.50	0.00	1.81	0.00	0.54	0.00	0.00	1.68	0.00
